trade_date,pnl,mktv,cash,trade_value,booksize
20190102,0.0,0.0,1000000.0,0.0,1000000.0
20190103,0.0,0.0,1000000.0,0.0,1000000.0
20190104,0.0,0.0,1000000.0,0.0,1000000.0
20190107,0.0,0.0,1000000.0,0.0,1000000.0
20190108,0.0,0.0,1000000.0,0.0,1000000.0
20190109,0.0,0.0,1000000.0,0.0,1000000.0
20190110,0.0,0.0,1000000.0,0.0,1000000.0
20190111,0.0,0.0,1000000.0,0.0,1000000.0
20190114,0.0,0.0,1000000.0,0.0,1000000.0
20190115,0.0,0.0,1000000.0,0.0,1000000.0
20190116,0.0,0.0,1000000.0,0.0,1000000.0
20190117,0.0,0.0,1000000.0,0.0,1000000.0
20190118,0.0,0.0,1000000.0,0.0,1000000.0
20190121,0.0,0.0,1000000.0,0.0,1000000.0
20190122,0.0,0.0,1000000.0,0.0,1000000.0
20190123,0.0,0.0,1000000.0,0.0,1000000.0
20190124,0.0,0.0,1000000.0,0.0,1000000.0
20190125,0.0,0.0,1000000.0,0.0,1000000.0
20190128,0.0,0.0,1000000.0,0.0,1000000.0
20190129,0.0,0.0,1000000.0,0.0,1000000.0
20190130,0.0,0.0,1000000.0,0.0,1000000.0
20190131,0.0,996052.0,3449.9740000001475,996052.0,999501.9740000002
20190201,4035.0000000000023,1000087.0,3449.9740000001475,0.0,1003536.9740000002
20190211,5709.999999999996,1001762.0,3449.9740000001475,0.0,1005211.9740000002
20190212,10016.000000000025,1006068.0,3449.9740000001475,0.0,1009517.9740000002
20190213,31659.000000000007,1027711.0,3449.9740000001475,0.0,1031160.9740000002
20190214,24186.000000000022,1020238.0,3449.9740000001475,0.0,1023687.9740000002
20190215,6182.000000000018,1002234.0,3449.9740000001475,0.0,1005683.9740000002
20190218,24660.000000000004,1020712.0,3449.9740000001475,0.0,1024161.9740000002
20190219,20417.999999999996,1016470.0,3449.9740000001475,0.0,1019919.9740000002
20190220,29147.0,1025199.0,3449.9740000001475,0.0,1028648.9740000002
20190221,23012.999999999993,1019065.0,3449.9740000001475,0.0,1022514.9740000002
20190222,39198.00000000001,1035250.0,3449.9740000001475,0.0,1038699.9740000002
20190225,103605.00000000003,1099657.0,3449.9740000001475,0.0,1103106.9740000002
20190226,86276.00000000003,1082328.0,3449.9740000001475,0.0,1085777.9740000002
20190227,109146.0,1105198.0,3449.9740000001475,0.0,1108647.9740000002
20190228,97645.0,1092033.0,5114.806000000146,-1664.0,1097147.806
20190301,124864.99999999999,1119253.0,5114.806000000146,0.0,1124367.806
20190304,130992.0,1125380.0,5114.806000000146,0.0,1130494.806
