,股票代码,股票简称,最新价,最新涨跌幅,外资加仓持股股数合计,外资加仓持股股数合计排名,外资加仓持股占总股本比例合计,外资加仓持股总市值合计,外资加仓持股家数,外资加仓持股明细,rebalance_date
0,600029.SH,南方航空,5.61,-1.232,436658062,1/5359,3.559565740332344,2899409531.68,1,,2019.01.31
1,600036.SH,招商银行,32.10,-0.062,238609288,2/5359,0.9461171641373523,6012954057.599999,1,,2019.01.31
2,601600.SH,中国铝业,6.54,-0.305,201782348,3/5359,1.353898816964634,716327335.4,2,,2019.01.31
3,601328.SH,交通银行,7.44,0.950,189425323,4/5359,0.25507455968525733,1096772620.17,1,,2019.01.31
4,601166.SH,兴业银行,16.30,0.123,137738480,5/5359,0.6630269340016035,2057812891.2,1,,2019.01.31
5,601668.SH,中国建筑,5.52,0.364,131873403,6/5359,0.31409516504770707,751678397.1,1,,2019.01.31
6,601939.SH,建设银行,7.68,1.053,113251623,7/5359,0.04529866013837005,721412838.51,1,,2019.01.31
7,600050.SH,中国联通,4.47,0.224,107398761,8/5359,0.34613707883562356,555251594.37,1,,2019.01.31
8,600000.SH,浦发银行,8.62,0.466,93758282,9/5359,0.3194263600122286,918831163.6,1,,2019.01.31
9,601169.SH,北京银行,5.39,0.936,87205682,10/5359,0.41245682670959516,489223876.02000004,1,,2019.01.31
0,600029.SH,南方航空,5.60,-1.409,436658062,1/5359,3.559565740332344,2899409531.68,1,,2019.02.28
1,600036.SH,招商银行,32.09,-0.093,238609288,2/5359,0.9461171641373523,6012954057.599999,1,,2019.02.28
2,601600.SH,中国铝业,6.53,-0.457,201782348,3/5359,1.353898816964634,716327335.4,2,,2019.02.28
3,601328.SH,交通银行,7.43,0.814,189425323,4/5359,0.25507455968525733,1096772620.17,1,,2019.02.28
4,601166.SH,兴业银行,16.31,0.184,137738480,5/5359,0.6630269340016035,2057812891.2,1,,2019.02.28
5,601668.SH,中国建筑,5.52,0.364,131873403,6/5359,0.31409516504770707,751678397.1,1,,2019.02.28
6,601939.SH,建设银行,7.68,1.053,113251623,7/5359,0.04529866013837005,721412838.51,1,,2019.02.28
7,600050.SH,中国联通,4.47,0.224,107398761,8/5359,0.34613707883562356,555251594.37,1,,2019.02.28
8,600000.SH,浦发银行,8.62,0.466,93758282,9/5359,0.3194263600122286,918831163.6,1,,2019.02.28
9,601169.SH,北京银行,5.39,0.936,87205682,10/5359,0.41245682670959516,489223876.02000004,1,,2019.02.28
0,000001.SZ,平安银行,10.01,0.000,285908949,1/5359,1.6651257963809927,3665352726.1800003,1,,2019.03.31
1,000651.SZ,格力电器,40.25,-0.198,208718913,2/5359,3.469552033374722,9853619882.73,1,,2019.03.31
2,600276.SH,恒瑞医药,43.32,-0.711,197028222,3/5359,4.454593862673332,12889586283.240002,2,,2019.03.31
3,000333.SZ,美的集团,61.85,0.766,188295783,4/5359,2.854798457834325,9175653505.59,2,,2019.03.31
4,601600.SH,中国铝业,6.53,-0.457,181101208,5/5359,1.0638823204869314,758814061.5200001,2,,2019.03.31
5,300382.SZ,斯莱克,5.15,-1.152,177305446,6/5359,31.405428861214524,1352840552.98,1,,2019.03.31
6,000157.SZ,中联重科,6.42,-0.773,175516600,7/5359,2.24775278966153,786314368.0000001,1,,2019.03.31
7,601225.SH,陕西煤业,23.12,0.130,170703717,8/5359,1.70703717,1520970118.47,1,,2019.03.31
8,601166.SH,兴业银行,16.31,0.184,153943372,9/5359,0.741031859412332,2797151069.2400002,1,,2019.03.31
9,600036.SH,招商银行,32.09,-0.093,140940538,10/5359,0.5588477432804407,4780703048.96,1,,2019.03.31
